,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
4,7532.T,Pan Pacific International Holdings Corporation,"2,422.00",+15.00,+0.62%,1.426M,1.771M,1.535T,31.04
5,OCDO.L,Ocado Group plc,"2,035.00",+14.00,+0.69%,"488,797",2.58M,15.219B,N/A
6,DMART.NS,Avenue Supermarts Limited,"2,319.55",-42.15,-1.78%,"490,618","421,179",1.505T,112.87
7,DMART.BO,Avenue Supermarts Limited,"2,318.60",-46.30,-1.96%,"35,180","23,820",1.502T,112.83
8,TCID.JK,PT. Mandom Indonesia Tbk,"7,400.00",-100.00,-1.33%,"16,200","14,522",1.488T,18.27
9,BTI.JO,British American Tobacco p.l.c.,"64,275.00","-1,888.00",-2.85%,1.262M,"792,898",1.457T,"2,651.50"
10,SIPD.JK,PT Sierad Produce Tbk,"1,100.00",0.00,0.00%,400,"44,033",1.473T,15.39
11,CPF-R.BK,Charoen Pokphand Foods Public Company Limited,32.00,0.00,0.00%,23.67M,N/A,1.457T,13.31
12,PALM.JK,PT Provident Agro Tbk,200.00,+12.00,+6.38%,"10,200","29,485",1.415T,N/A
13,KEJU.JK,PT Mulia Boga Raya Tbk,940.00,+15.00,+1.62%,"94,200","80,906",1.41T,11.79
14,CL.MX,Colgate-Palmolive Company,"1,668.00",0.00,0.00%,0,219,1.415T,569.28
15,MAIN.JK,PT Malindo Feedmill Tbk,620.00,+10.00,+1.64%,10.38M,15.724M,1.388T,18.79
16,IMB.L,Imperial Brands PLC,"1,452.00",-20.00,-1.36%,"647,827",2.299M,13.742B,16.10
17,FISH.JK,PT FKS Multi Agro Tbk,"2,850.00",0.00,0.00%,300,327,1.368T,"79,166.67"
18,2587.T,Suntory Beverage & Food Limited,"4,210.00",-55.00,-1.29%,"384,900","453,123",1.301T,18.35
19,TGT.MX,Target Corporation,"2,687.00",0.00,0.00%,0,786,1.318T,497.50
20,HEIAN.MX,Heineken N.V.,"2,127.90",0.00,0.00%,0,405,1.249T,517.49
21,2269.T,"Meiji Holdings Co., Ltd.","8,450.00",-70.00,-0.82%,"395,500","438,195",1.226T,18.21
22,CAMP.JK,"PT Campina Ice Cream Industry, Tbk.",206.00,-2.00,-0.96%,"250,100","512,000",1.212T,17.24
23,CEKA.JK,PT Wilmar Cahaya Indonesia Tbk.,"1,985.00",0.00,0.00%,"43,100","161,138",1.181T,5.31
24,ITIC.JK,PT Indonesian Tobacco Tbk,"1,150.00",-85.00,-6.88%,1.623M,1.394M,1.082T,N/A
