,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
70,025860.KS,Namhae Chemical Corporation,"7,870.00",+170.00,+2.21%,"316,295","289,618",377.356B,N/A
71,PUCOBRE.SN,Sociedad Punta del Cobre S.A.,"3,015.00",+0.50,+0.02%,"3,983","2,920",375.874B,"36,325.30"
72,3405.T,"Kuraray Co., Ltd.","1,087.00",+14.00,+1.30%,1.141M,1.387M,373.638B,N/A
73,001430.KS,SeAH Besteel Corporation,"10,500.00",-150.00,-1.41%,"87,734","261,578",373.259B,N/A
74,002840.KS,"Miwon Commercial Co., Ltd.","75,000.00",+500.00,+0.67%,"1,118","3,964",372.75B,N/A
75,AMS.JO,Anglo American Platinum Limited,"136,798.00","+3,798.00",+2.86%,"310,930","318,244",367.751B,"1,948.41"
76,038500.KQ,"SAMPYO Cement Co., Ltd.","3,400.00",+60.00,+1.80%,"864,482","87,119",365.004B,N/A
77,213500.KS,"Hansol Paper Co., Ltd.","15,350.00","+1,100.00",+7.72%,"401,799","179,709",364.975B,N/A
78,014830.KS,UNID Company Ltd.,"41,700.00",+50.00,+0.12%,"10,946","25,144",364.118B,N/A
79,SRSN.JK,PT Indo Acidatama Tbk,58.00,0.00,0.00%,11.638M,4.511M,349.16B,8.13
80,104830.KQ,"WONIK Materials Co.,Ltd.","27,650.00",+200.00,+0.73%,"69,762",N/A,348.611B,N/A
81,MDKI.JK,PT Emdeki Utama Tbk,137.00,+1.00,+0.74%,"6,100","235,069",346.631B,11.62
82,HINDALCO.NS,Hindalco Industries Limited,155.00,+2.70,+1.77%,18.306M,17.453M,345.645B,9.16
83,HINDALCO.BO,Hindalco Industries Limited,155.00,+2.65,+1.74%,"996,205","778,678",345.532B,9.16
84,4004.T,Showa Denko K.K.,"2,346.00",-28.00,-1.18%,1.024M,1.436M,342.223B,8.01
85,4088.T,Air Water Inc.,"1,502.00",-3.00,-0.20%,"749,100","931,732",341.095B,10.20
86,UPL.NS,UPL Limited,444.00,-6.95,-1.54%,8.686M,6.941M,339.236B,19.10
87,UPL.BO,UPL Limited,443.90,-7.05,-1.56%,"296,323","347,105",339.16B,19.10
88,PHOR.ME,Public Joint-Stock Company PhosAgro,"2,611.00",-5.00,-0.19%,"28,976","75,160",338.125B,26.81
89,300720.KS,"Hanil Cement Co., Ltd.","81,300.00",0.00,0.00%,"1,854","8,446",336.986B,N/A
90,INVERCAP.SN,Invercap S.A.,"2,248.60",-0.60,-0.03%,221,"77,955",336.049B,N/A
91,298000.KS,Hyosung Chemical Corporation,"105,500.00","+1,500.00",+1.44%,"6,095","26,559",335.258B,N/A
92,4182.T,"Mitsubishi Gas Chemical Company, Inc.","1,604.00",-9.00,-0.56%,1.225M,"845,189",333.6B,15.96
93,0914.HK,Anhui Conch Cement Company Limited,57.650,+0.650,+1.14%,7.953M,7.041M,332.218B,8.12
94,2002A.TW,China Steel Corporation,54.80,-0.10,-0.18%,"27,000","19,384",321.357B,291.49
95,017890.KQ,"Korea Alcohol Industrial Co., Ltd.","15,800.00",+600.00,+3.95%,1.841M,"763,736",325.173B,N/A
96,2002.TW,China Steel Corporation,20.85,+0.10,+0.48%,14.027M,17.272M,323.494B,110.90
97,4403.T,NOF Corporation,"3,890.00",-20.00,-0.51%,"168,800","177,021",323.295B,15.45
98,002240.KS,KisWire Ltd.,"16,100.00",-100.00,-0.62%,"40,941","127,282",321.91B,N/A
99,004430.KS,"Songwon Industrial Co., Ltd.","13,400.00",0.00,0.00%,"136,223","306,071",321.6B,N/A
0,3401.T,Teijin Limited,"1,663.00",-13.00,-0.78%,"809,300","873,234",319.196B,13.37
1,017960.KS,"Hankuk Carbon Co., Ltd.","7,620.00",-60.00,-0.78%,"244,457",1.197M,312.589B,N/A
2,MLM.MX,"Martin Marietta Materials, Inc.","4,820.00",0.00,0.00%,0,388,295.419B,508.49
3,E1CL34.SA,Ecolab Inc.,266.31,0.00,0.00%,0,557,309.034B,50.34
4,121600.KQ,"Advanced Nano Products Co., Ltd.","28,600.00","+6,600.00",+30.00%,5.281M,"126,893",302.754B,N/A
