,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
86,LIPIGAS.SN,Empresas Lipigas S.A.,"5,249.50",0.00,0.00%,505,"31,693",596.212B,15.77
87,003240.KS,"Taekwang Industrial Co., Ltd.","704,000.00","-7,000.00",-0.98%,484,"1,364",592.508B,N/A
88,SLBN.MX,Schlumberger Limited,415.00,0.00,0.00%,10,"13,174",563.354B,N/A
89,ENRG.JK,PT Energi Mega Persada Tbk,52.00,0.00,0.00%,5.689M,21.716M,537.794B,"17,333.33"
90,1088.HK,China Shenhua Energy Company Limited,13.900,0.000,0.00%,26.974M,20.798M,535.573B,5.93
91,0386.HK,China Petroleum & Chemical Corporation,3.440,+0.020,+0.58%,115.556M,115.594M,536.127B,6.48
92,VLO.MX,Valero Energy Corporation,"1,213.00",0.00,0.00%,4,"6,097",483.565B,"1,178.81"
93,601088.SS,China Shenhua Energy Company Limited,16.85,-0.09,-0.53%,73.468M,22.931M,485.794B,8.63
94,600028.SS,China Petroleum & Chemical Corporation,4.2100,-0.0200,-0.47%,289.021M,94.913M,481.047B,22.16
95,EQNR.OL,Equinor ASA,139.40,+0.60,+0.43%,3.088M,4.702M,460.396B,N/A
96,APEX.JK,PT Apexindo Pratama Duta Tbk,169.00,-11.00,-6.11%,"40,600","173,214",449.515B,"18,777.78"
97,CNKO.JK,PT Exploitasi Energi Indonesia Tbk,50.00,0.00,0.00%,200,"2,161",447.818B,2.22
98,PETRONET.BO,Petronet LNG Limited,264.20,+2.95,+1.13%,"139,616","107,717",396.3B,14.66
99,PETRONET.NS,Petronet LNG Limited,264.15,+2.90,+1.11%,4.262M,3.301M,396.225B,14.66
0,0883.HK,CNOOC Limited,8.860,-0.040,-0.45%,111.536M,80.667M,395.577B,5.79
1,006730.KQ,"Seobu T&D Co., Ltd.","7,070.00",+620.00,+9.61%,1.013M,"240,155",391.953B,N/A
2,OXY1.MX,Occidental Petroleum Corporation,426.00,0.00,0.00%,0,"3,599",351.064B,N/A
3,PTTEP.BK,PTT Exploration and Production Public Company Limited,92.75,-2.75,-2.88%,14.517M,20.203M,368.217B,265.76
4,KOPI.JK,PT Mitra Energi Persada Tbk,500.00,+2.00,+0.40%,"29,000","27,783",348.633B,85.18
5,ET.MX,Energy Transfer LP,145.76,-0.86,-0.59%,7.884M,N/A,402.499B,202.44
6,HINDPETRO.BO,Hindustan Petroleum Corporation Limited,211.80,+0.75,+0.36%,"250,627","435,304",322.898B,12.23
7,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,211.80,+0.65,+0.31%,4.489M,6.998M,322.745B,12.23
8,002960.KS,"Hankook Shell Oil Co.,Ltd.","234,000.00","-1,000.00",-0.43%,"2,177","2,904",304.2B,N/A
9,PETR4.SA,Petroleo Brasileiro S.A. - Petrobras,22.56,+0.33,+1.48%,24.788M,80.992M,298.279B,N/A
10,PETR3.SA,Petroleo Brasileiro S.A. - Petrobras,23.20,+0.44,+1.93%,6.956M,11.053M,299.6B,N/A
11,BANEP.ME,Public Joint Stock Oil Company Bashneft,"1,351.50",-18.50,-1.35%,"91,170","122,996",287.894B,3.99
12,BANE.ME,Public Joint Stock Oil Company Bashneft,"1,763.50",-16.50,-0.93%,"9,034","18,069",289.129B,5.21
13,REPSN.MX,"Repsol, S.A.",202.16,0.00,0.00%,0,"1,134",283.6B,99.83
14,YPFD.BA,YPF Sociedad Anonima,662.00,-2.00,-0.30%,"21,982","248,805",260.373B,N/A
15,PTTEP-R.BK,PTT Exploration and Production Public Company Limited,92.75,-2.75,-2.88%,14.517M,N/A,258.564B,265.76
16,OMV.PR,OMV Aktiengesellschaft,792.80,-16.00,-1.98%,31,85,260.959B,N/A
17,HAL.MX,Halliburton Company,281.90,-2.60,-0.91%,5,"12,419",240.868B,N/A
18,017940.KS,E1 Corporation,"36,200.00","+1,250.00",+3.58%,"12,775","15,457",248.332B,N/A
19,COPH34.SA,ConocoPhillips,55.41,0.00,0.00%,0,"3,212",233.489B,67.82
20,CXO.MX,Concho Resources Inc.,"1,162.00",0.00,0.00%,0,395,222.588B,N/A
21,SMMT.JK,PT Golden Eagle Energy Tbk,70.00,0.00,0.00%,"234,200","79,445",220.5B,32.30
22,GTBO.JK,PT Garda Tujuh Buana Tbk,83.00,0.00,0.00%,700,"185,737",207.5B,N/A
23,MIRA.JK,PT Mitra International Resources Tbk,50.00,0.00,0.00%,200,164,198.073B,N/A
24,PTT-R.BK,PTT Public Company Limited,39.50,-0.75,-1.86%,75.151M,N/A,193.241B,3.71
25,XOM.SN,Exxon Mobil Corporation,44.15,+0.02,+0.05%,404,185,183.007B,16.57
26,KMIC34.SA,"Kinder Morgan Kansas, Inc.",81.59,0.00,0.00%,0,480,184.515B,N/A
27,XOM,Exxon Mobil Corporation,43.19,-0.05,-0.11%,6.081M,27.3M,182.714B,16.21
28,ADANIENT.BO,Adani Enterprises Limited,163.05,-5.05,-3.00%,"195,506","257,744",179.324B,15.76
29,ADANIENT.NS,Adani Enterprises Limited,163.00,-5.15,-3.06%,3.645M,3.969M,179.215B,15.75
30,126880.KQ,"JNK Heaters Co., Ltd.","8,830.00",+190.00,+2.20%,2.932M,"836,211",178.557B,N/A
31,012700.KQ,"The LEADCORP, Inc.","6,200.00",-20.00,-0.32%,"87,247","101,017",165.36B,N/A
32,XONA.F,Exxon Mobil Corporation,38.58,-0.38,-0.99%,"15,131","5,709",160.124B,14.48
33,XONA.DE,Exxon Mobil Corporation,38.58,-0.38,-0.99%,"35,486","37,840",160.971B,14.48
34,XOM.VI,Exxon Mobil Corporation,38.37,-0.35,-0.90%,"1,024","2,345",160.26B,14.40
